Station,Year,Month,Latitude,Longitude,Corbicula_density,Potamocorbula_density,Corbicula_biomass,Potamocorbula_biomass,Corbicula_GR,Potamocorbula_GR,Corbicula_FR,Potamocorbula_FR,Corbicula_recruits,Potamocorbula_recruits,Corbicula_length,Potamocorbula_length
C9-L,2021,April,37.8271721,-121.5522898,67.3076923076923,0,0.0597662823422351,0,0.00356067714363489,0,0.00366677602725195,0,24.0384615384615,0,2.475,0
C9-L,2022,April,37.8271721,-121.5522898,57.6923076923077,0,0.370225288732082,0,0.0268053753718929,0,0.0283592571168775,0,19.2307692307692,0,9.16666666666667,0
C9-L,2023,April,37.8271721,-121.5522898,187.5,0,0.557597837545828,0,0.029238266033499,0,0.0306063997449972,0,62.5,0,2.42804487179487,0
C9-L,2021,August,37.8271721,-121.5522898,38.4615384615385,0,-0.00197117054680814,0,-0.000364514513062384,0,-0.000368020225005968,0,28.8461538461539,0,1.5,0
C9-L,2022,August,37.8271721,-121.5522898,25.6410256410256,0,1.00456998272042,0,0.157465798275361,0,0.167799516979638,0,0,0,16.5,0
C9-L,2023,August,37.8271721,-121.5522898,67.3076923076923,0,8.87010284253343,0,1.36939520839429,0,1.48162795836899,0,19.2307692307692,0,13.6666666666667,0
C9-L,2021,December,37.8271721,-121.5522898,28.8461538461539,0,0.109470286639712,0,0.00413679914916442,0,0.00430305099722031,0,9.61538461538461,0,5.25,0
C9-L,2022,December,37.8271721,-121.5522898,576.923076923077,0,5.58971391057419,0,0.160860186773199,0,0.175871661644272,0,442.307692307692,0,4.73333333333333,0
C9-L,2023,December,37.8271721,-121.5522898,57.6923076923077,0,0.873511073690838,0,0.0285311830687426,0,0.0307193255923597,0,43.2692307692308,0,4.125,0
C9-L,2020,February,37.8271721,-121.5522898,288.461538461538,0,0.03664868248952,0,0.001115947780882,0,0.00115309384158502,0,163.461538461538,0,2.025,0
C9-L,2022,February,37.8271721,-121.5522898,38.4615384615385,0,0.196414701646862,0,0.00594312031417647,0,0.00617988335407477,0,12.8205128205128,0,2.66666666666667,0
C9-L,2023,February,37.8271721,-121.5522898,38.4615384615385,0,0.756715257752978,0,0.0223237472014648,0,0.0238088696312043,0,25.6410256410256,0,5.05555555555556,0
C9-L,2020,January,37.8271721,-121.5522898,240.384615384615,0,0.0583106365439774,0,0.00177256465555609,0,0.00183465356270284,0,144.230769230769,0,2.17202380952381,0
C9-L,2023,January,37.8271721,-121.5522898,43.2692307692308,0,0.448417522374419,0,0.0150823174051819,0,0.0157697873398849,0,38.4615384615385,0,3.16666666666667,0
C9-L,2020,July,37.8271721,-121.5522898,19.2307692307692,0,0.443701820096658,0,0.0709868986089201,0,0.0741142502522161,0,0,0,11.5,0
C9-L,2021,July,37.8271721,-121.5522898,57.6923076923077,0,0.791644813744479,0,0.124014948173314,0,0.132233313408419,0,32.0512820512821,0,9.76666666666667,0
C9-L,2022,July,37.8271721,-121.5522898,48.0769230769231,0,0.330179890347702,0,0.0594220860176799,0,0.0616450350960089,0,33.6538461538462,0,4.58333333333333,0
C9-L,2023,July,37.8271721,-121.5522898,44.8717948717949,0,3.84139283072957,0,0.52655436760421,0,0.574066567354124,0,0,0,15.2777777777778,0
C9-L,2020,June,37.8271721,-121.5522898,341.346153846154,0,0.911875198349528,0,0.111935827191509,0,0.121919159888843,0,0,0,5.49178535732134,0
C9-L,2021,June,37.8271721,-121.5522898,115.384615384615,0,0.98011591552082,0,0.125682642354784,0,0.13104305197714,0,86.5384615384615,0,3.80882352941176,0
C9-L,2023,June,37.8271721,-121.5522898,168.269230769231,0,0.0796437494314096,0,0.00725754433649458,0,0.0076219068205859,0,48.0769230769231,0,4.8375,0
C9-L,2020,March,37.8271721,-121.5522898,72.1153846153846,0,0.0280945698929297,0,0.00121044946528869,0,0.00123435363822178,0,33.6538461538462,0,2.41666666666667,0
C9-L,2021,March,37.8271721,-121.5522898,937.5,0,1.83415461581858,0,0.0737971452446282,0,0.0805848045271804,0,495.192307692308,0,3.16140814830331,0
C9-L,2022,March,37.8271721,-121.5522898,48.0769230769231,0,0.282418765643371,0,0.0133462620517843,0,0.0138690827719281,0,28.8461538461539,0,4.625,0
