"","Regions","seasonyear","year_month","Clam_biomass","Clam_grazing","Clam_filtration","Month","Chlorophyll","DissAmmonia","TotAmmonia","Secchi","TotPhos","DissNitrateNitrite","Temperature","TurbidityNTU","Conductivity","SAC","OUT","Index","season","SACmax_mo","OUTmax_mo","SAC_mean_var_m","OUT_mean_var_m","SAC_max_var_m","OUT_max_var_m","SACmax_s","OUTmax_s","SAC_mean_var_s","OUT_mean_var_s","SAC_max_var_s","OUT_max_var_s","SACmax_sm","OUTmax_sm","SAC_max_var_sm","OUT_max_var_sm","lagDissAmmonia","lagSecchi","lagTotPhos","lagDissNitrateNitrite","lagTemperature","lagTurbidityNTU","lagConductivity","lagSAC","lagOUT","lagSACmax_s","lagOUTmax_s","lagSAC_mean_var_s","lagOUT_mean_var_s","lagSAC_max_var_s","lagOUT_max_var_s","lagSACmax_sm","lagOUTmax_sm","lagSAC_max_var_sm","lagOUT_max_var_sm"
"1","Central","Autumn1978",1978-10-01,NA,NA,NA,10,7.2975,NA,0.097,50.3,NA,0.363333333333333,20.05,12.6516666666667,296.818181818182,12487.0967741935,9599.96774193548,6.67,"Autumn",15700,16533,990.322580645161,2911.61290322581,2200,6800,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Central","Autumn1978",1978-11-01,NA,NA,NA,11,4.86,NA,0.108,53.5714285714286,0.133333333333333,0.42,11.1428571428571,19.3666666666667,233,12443.3333333333,10928.0666666667,6.67,"Autumn",16100,22300,1496.66666666667,6633.73333333333,4100,15704,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Central","Autumn1978",1978-12-01,NA,NA,NA,12,7.21333333333333,NA,0.125,47.8571428571429,0.158333333333333,0.533333333333333,9.31428571428571,12.1666666666667,270.142857142857,13203.2258064516,8779.70967741935,6.67,"Autumn",13900,11303,522.58064516129,2862.16129032258,1100,5385,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Central","Autumn1979",1979-11-01,NA,NA,NA,11,3.555,0.0866666666666667,NA,62.3333333333333,0.143333333333333,0.563333333333333,12.5,11.2833333333333,334,15200,12172.0666666667,9.04,"Autumn",21400,20659,4316.66666666667,6758.8,8500,11060,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"5","Central","Autumn1979",1979-12-01,NA,NA,NA,12,3.915,0.0783333333333333,NA,51.5,0.161666666666667,0.455,11.1666666666667,12.1166666666667,318.333333333333,20319.3548387097,19028.5483870968,9.04,"Autumn",45500,57821,7841.93548387097,13774,29600,45395,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"6","Central","Autumn1979",1979-10-01,NA,NA,NA,10,5.12416666666667,0.0525,NA,52.5,NA,0.385833333333333,18.8333333333333,11.3333333333333,430.166666666667,12577.4193548387,7798.64516129032,9.04,"Autumn",18300,15858,2967.74193548387,4758,7800,10079,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"7","Central","Autumn1980",1980-10-01,3.61558757185771,0.275202992750032,0.310940531179763,10,NA,0.055,NA,55.9545454545455,NA,0.329166666666667,17.5272727272727,26.81,283.045454545455,11343.5483870968,7320.83870967742,6.21,"Autumn",14300,10262,1359.03225806452,3019.96774193548,3140,6125,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"8","Central","Autumn1980",1980-11-01,4.48613217005238,0.224723589209338,0.246737269352881,11,8.13,0.052,NA,56.6,0.136,0.442,14.53,30.125,310.7,10871.6666666667,6661.8,6.21,"Autumn",11600,8038,953.333333333333,2030.8,4400,9854,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"9","Central","Autumn1980",1980-12-01,0.561428197120225,0.0157434877256134,0.017404274110727,12,4.746,0.16,NA,63.1,0.17,0.572,9.53,16.84,351.7,16687.0967741935,12486.8064516129,6.21,"Autumn",29900,30213,5841.93548387097,9204.16129032258,18500,23164,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"10","Central","Autumn1981",1981-10-01,5.26914535504024,0.406770880171381,0.453146500533461,10,5.27916666666667,0.054,NA,64.05,NA,0.445,18.4777777777778,19.2916666666667,831,9895.16129032258,5213.77419354839,12.76,"Autumn",12700,15359,1861.29032258065,4644.32258064516,4500,13150,98300,217288,13076.7391304348,31628.3695652174,56500,178985,62058.064516129,86287.3870967742,21167.7419354839,62386.5161290323,0.0338333333333333,51.4861111111111,0.15,0.2355,23.3126388888889,19.5647222222222,560.336111111111,14319.3906810036,4383.26738351255,18200,6305,1460.4347826087,1644.78260869565,5500,3385,15303.2258064516,5305.74193548387,1883.87096774194,1839.77419354839
