"","Date","Station","station_name","Corbicula_biomass","Potamocorbula_biomass","Corbicula_GR","Potamocorbula_GR","Corbicula_FR","Potamocorbula_FR","Latitude","Longitude"
"1",1976-02-01,"D4C","EMP D4",0.159196942613511,NA,0.00517722593452922,NA,0.0055718929914729,NA,38.0581,-121.8193
"2",1976-06-01,"D28AL","EMP D28A",0.63,NA,0.0543651220515572,NA,0.06048,NA,37.9701,-121.5741
"3",1976-06-01,"D4C","EMP D4",0.200862134183735,NA,0.0146729588159084,NA,0.0154663843321476,NA,38.0581,-121.8193
"4",1976-10-01,"D4C","EMP D4",0.0403423189761813,NA,0.00377094303386465,NA,0.0038728626217134,NA,38.0581,-121.8193
"5",1977-03-01,"D19C","EMP D19",NA,NA,NA,NA,NA,NA,38.0438,121.6148
"6",1977-03-01,"D4C","EMP D4",0.00706125165235837,NA,0.00030532040714305,NA,0.000310695072703768,NA,38.0581,-121.8193
"7",1977-06-01,"D11","EMP D11",3.64788767376699e-05,NA,3.88792736583125e-06,NA,3.90323981093068e-06,NA,38.0422,121.7995
"8",1977-06-01,"D19C","EMP D19",NA,NA,NA,NA,NA,NA,38.0438,121.6148
"9",1977-06-01,"D28AL","EMP D28A",0.0464982317430837,NA,0.00599673589188007,NA,0.00623076305357322,NA,37.9701,-121.5741
"10",1977-06-01,"D4C","EMP D4",0.0684116620022208,NA,0.00712741093198454,NA,0.00732004783423763,NA,38.0581,-121.8193
"11",1977-06-01,"D4L","EMP D4",NA,NA,NA,NA,NA,NA,38.0581,-121.8193
"12",1977-06-01,"D4R","EMP D4",0.079788871371473,NA,0.00821519356800277,NA,0.00853740923674761,NA,38.0581,-121.8193
"13",1977-10-01,"D11","EMP D11",0.00274876865298625,NA,0.000259369412065937,NA,0.00026388179068668,NA,38.0422,121.7995
"14",1977-10-01,"D19C","EMP D19",NA,NA,NA,NA,NA,NA,38.0438,121.6148
"15",1977-10-01,"D28AL","EMP D28A",1.90419432406601,NA,0.195836043637942,NA,0.203748792675063,NA,37.9701,-121.5741
"16",1977-10-01,"D4C","EMP D4",NA,NA,NA,NA,NA,NA,38.0581,-121.8193
